,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
"gene_id ""PDENDC454_23429""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23429""; ",1413.801621,-1.411002153,0.180190607,-7.830608798,4.86E-15,1.45E-12,20down
"gene_id ""PDENDC454_23434""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23434""; ",1936.550383,-1.185448599,0.226338775,-5.237496745,1.63E-07,8.25E-06,20down
"gene_id ""PDENDC454_23344""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23344""; ",400.9628846,-1.542385095,0.291037361,-5.299612015,1.16E-07,6.31E-06,20down
"gene_id ""PDENDC454_23349""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23349""; ",924.7844421,-1.335090355,0.256773492,-5.199486702,2.00E-07,9.78E-06,20down
"gene_id ""PDENDC454_23354""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23354""; ",950.6491805,-1.261644897,0.297662471,-4.238508442,2.25E-05,0.000535842,20down
"gene_id ""PDENDC454_23359""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23359""; ",401.852579,-1.354415547,0.380355321,-3.560921776,0.000369555,0.00552485,20down
"gene_id ""PDENDC454_23364""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23364""; ",904.3055688,-1.400561588,0.326952913,-4.283679794,1.84E-05,0.000447674,20down
"gene_id ""PDENDC454_23369""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23369""; ",185.5951953,-1.18577083,0.3801908,-3.118883541,0.001815377,0.020612572,20down
"gene_id ""PDENDC454_23374""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23374""; ",1100.899256,-1.316778942,0.32474834,-4.05476728,5.02E-05,0.001063353,20down
"gene_id ""PDENDC454_23379""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_23379""; partial ""true""; ",2486.604586,-1.387026012,0.305559149,-4.539304479,5.64E-06,0.000168756,20down
"gene_id ""PDENDC454_22994""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22994""; ",258.94017,-1.013093534,0.273337037,-3.706389544,0.000210235,0.003492235,20down
"gene_id ""PDENDC454_22909""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22909""; ",43.92357698,-1.556896303,0.4649173,-3.34875967,0.000811742,0.010655595,20down
"gene_id ""PDENDC454_22739""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22739""; ",5596.011709,-1.281406238,0.410100053,-3.12461856,0.001780358,0.020300603,20down
"gene_id ""PDENDC454_22744""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22744""; ",5099.111948,-1.389473196,0.399997958,-3.473700723,0.000513333,0.007251337,20down
"gene_id ""PDENDC454_22774""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22774""; ",68.59623103,-1.01286739,0.325374763,-3.112925479,0.001852428,0.020813709,20down
"gene_id ""PDENDC454_22584""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22584""; ",1016.560792,-2.704536381,0.417881095,-6.472023765,9.67E-11,1.24E-08,20down
"gene_id ""PDENDC454_22654""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22654""; ",10.58330111,-4.643848975,1.611726826,-2.881287884,0.003960537,0.038545408,20down
"gene_id ""PDENDC454_22429""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22429""; ",84.16467717,-1.573920266,0.498982752,-3.154257857,0.001609068,0.018663807,20down
"gene_id ""PDENDC454_21889""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21889""; ",368.8527595,-1.56912874,0.391044189,-4.012663494,6.00E-05,0.001210193,20down
"gene_id ""PDENDC454_22034""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_22034""; ",1293.943177,-2.623148517,0.372813357,-7.0360905,1.98E-12,3.67E-10,20down
"gene_id ""PDENDC454_21749""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21749""; ",11.05392122,-5.800465599,1.48892733,-3.895734522,9.79E-05,0.001827403,20down
"gene_id ""PDENDC454_21639""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_21639""; ",1208.974666,-1.075155613,0.347041898,-3.098057089,0.001947939,0.02166076,20down
"gene_id ""PDENDC454_20977""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20977""; ",1116.497749,-2.294281014,0.378034381,-6.068974485,1.29E-09,1.31E-07,20down
"gene_id ""PDENDC454_20367""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20367""; ",1619.112309,-1.055027992,0.342493365,-3.080433373,0.002066996,0.02265697,20down
"gene_id ""PDENDC454_20452""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20452""; ",103.712933,-1.056654076,0.286316569,-3.690509705,0.000223805,0.003683545,20down
"gene_id ""PDENDC454_20537""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20537""; ",289.9189824,-1.102879379,0.288394467,-3.824204365,0.000131195,0.002365798,20down
"gene_id ""PDENDC454_20542""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20542""; ",4262.651743,-1.404384542,0.26876379,-5.225348774,1.74E-07,8.66E-06,20down
"gene_id ""PDENDC454_20270""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20270""; ",132.4674805,-1.88201087,0.434953035,-4.326928927,1.51E-05,0.000385674,20down
"gene_id ""PDENDC454_20105""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_20105""; ",8044.132173,-1.080866298,0.309480972,-3.492512932,0.000478498,0.006854747,20down
"gene_id ""PDENDC454_19508""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19508""; ",895.1451134,-2.200035837,0.474679324,-4.634783371,3.57E-06,0.000119444,20down
"gene_id ""PDENDC454_19513""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19513""; ",687.6117969,-1.538490502,0.47299508,-3.252656458,0.001143316,0.014145583,20down
"gene_id ""PDENDC454_19528""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19528""; ",328.5576774,-2.076814183,0.448847443,-4.626993455,3.71E-06,0.000121072,20down
"gene_id ""PDENDC454_19548""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19548""; ",554.4550832,-2.933057527,0.495316789,-5.921579064,3.19E-09,2.81E-07,20down
"gene_id ""PDENDC454_19553""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19553""; ",774.2695211,-2.753736035,0.493399605,-5.581147628,2.39E-08,1.51E-06,20down
"gene_id ""PDENDC454_19558""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19558""; ",445.074873,-2.438702631,0.536729738,-4.54363241,5.53E-06,0.00016625,20down
"gene_id ""PDENDC454_19563""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19563""; ",508.728598,-3.524899192,0.818042984,-4.308941291,1.64E-05,0.000410629,20down
"gene_id ""PDENDC454_19568""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19568""; ",595.3831991,-3.270060774,0.744474186,-4.392443466,1.12E-05,0.00029716,20down
"gene_id ""PDENDC454_19573""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19573""; ",744.2648381,-1.689893387,0.484910522,-3.484959202,0.000492212,0.006989671,20down
"gene_id ""PDENDC454_19578""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19578""; ",914.2370176,-2.046064033,0.511718048,-3.998420693,6.38E-05,0.001266389,20down
"gene_id ""PDENDC454_19583""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19583""; ",416.539832,-2.094621121,0.57794608,-3.624250072,0.000289801,0.004507831,20down
"gene_id ""PDENDC454_19588""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19588""; ",415.1852841,-2.791485566,0.516973154,-5.399672196,6.68E-08,3.91E-06,20down
"gene_id ""PDENDC454_19598""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19598""; ",709.2525454,-2.104852927,0.489995538,-4.295657332,1.74E-05,0.000428045,20down
"gene_id ""PDENDC454_19603""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19603""; ",683.1114978,-2.418347826,0.468987325,-5.156531311,2.52E-07,1.19E-05,20down
"gene_id ""PDENDC454_19608""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19608""; ",1075.134365,-2.638911509,0.466221613,-5.660208444,1.51E-08,1.07E-06,20down
"gene_id ""PDENDC454_19613""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19613""; ",542.0657399,-2.29324665,0.50138579,-4.573816598,4.79E-06,0.000149857,20down
"gene_id ""PDENDC454_19618""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19618""; ",1172.261464,-3.148818598,0.434842023,-7.241293226,4.44E-13,8.54E-11,20down
"gene_id ""PDENDC454_19623""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19623""; ",332.8325776,-2.728365903,0.849272494,-3.212591863,0.001315431,0.015981147,20down
"gene_id ""PDENDC454_19628""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19628""; ",611.368255,-2.197198468,0.392608761,-5.596407128,2.19E-08,1.40E-06,20down
"gene_id ""PDENDC454_18998""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_18998""; ",76.64039424,-3.243868554,0.913295632,-3.551827512,0.000382566,0.005674585,20down
"gene_id ""PDENDC454_19003""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_19003""; ",73.51286363,-4.360646691,1.293156545,-3.372094978,0.000745987,0.009888924,20down
"gene_id ""PDENDC454_17963""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17963""; ",4745.848272,-1.090704406,0.266826078,-4.087697924,4.36E-05,0.000953172,20down
"gene_id ""PDENDC454_17808""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17808""; ",748.9112758,-1.713336125,0.322278733,-5.316317671,1.06E-07,5.88E-06,20down
"gene_id ""PDENDC454_17813""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17813""; ",774.2725238,-1.981764774,0.407942116,-4.857955811,1.19E-06,4.59E-05,20down
"gene_id ""PDENDC454_17563""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17563""; ",397.011716,-1.17777096,0.320588075,-3.673782815,0.000238986,0.003862529,20down
"gene_id ""PDENDC454_17653""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17653""; ",3870.290434,-1.009382344,0.319442037,-3.159829414,0.001578615,0.018389844,20down
"gene_id ""PDENDC454_17558""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17558""; ",156.2845778,-1.234582377,0.314622436,-3.924012521,8.71E-05,0.001644554,20down
"gene_id ""PDENDC454_17268""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17268""; ",33.55510573,-5.453849222,1.347076125,-4.048657029,5.15E-05,0.001082967,20down
"gene_id ""PDENDC454_17273""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17273""; ",473.3099108,-2.233868117,0.45923528,-4.864321654,1.15E-06,4.48E-05,20down
"gene_id ""PDENDC454_17278""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17278""; ",177.6964571,-2.374909214,0.500300476,-4.746965731,2.06E-06,7.36E-05,20down
"gene_id ""PDENDC454_17308""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17308""; ",208.9643006,-1.9505391,0.48282484,-4.039848278,5.35E-05,0.001107156,20down
"gene_id ""PDENDC454_17313""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_17313""; ",153.9216965,-2.370291175,0.662860484,-3.575852282,0.000349089,0.005309327,20down
"gene_id ""PDENDC454_16983""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16983""; ",3191.945158,-1.796759169,0.286156469,-6.278939537,3.41E-10,4.08E-08,20down
"gene_id ""PDENDC454_16223""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16223""; ",1439.325101,-3.120077945,0.674608063,-4.625023205,3.75E-06,0.000121072,20down
"gene_id ""PDENDC454_16263""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16263""; ",2265.036411,-3.907379158,0.369304626,-10.58036885,3.68E-26,6.59E-23,20down
"gene_id ""PDENDC454_16268""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16268""; ",1857.523374,-3.939435956,0.369971495,-10.64794454,1.78E-26,4.80E-23,20down
"gene_id ""PDENDC454_16273""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16273""; ",663.859434,-3.744680486,0.334043853,-11.21014637,3.64E-29,1.96E-25,20down
"gene_id ""PDENDC454_16278""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16278""; ",671.8120896,-3.84529975,0.421618481,-9.120330156,7.49E-20,5.04E-17,20down
"gene_id ""PDENDC454_16283""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16283""; ",2291.957068,-3.328531107,0.360035345,-9.245012074,2.35E-20,1.81E-17,20down
"gene_id ""PDENDC454_16288""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16288""; ",1425.876546,-3.269735694,0.350087726,-9.339761014,9.66E-21,1.04E-17,20down
"gene_id ""PDENDC454_16293""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16293""; ",1541.008492,-3.200753294,0.345611287,-9.261136458,2.02E-20,1.81E-17,20down
"gene_id ""PDENDC454_16298""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_16298""; ",2691.692972,-2.84912669,0.332901732,-8.558461596,1.14E-17,5.13E-15,20down
"gene_id ""PDENDC454_15984""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15984""; ",563.8707945,-2.526218176,0.450719165,-5.604860786,2.08E-08,1.35E-06,20down
"gene_id ""PDENDC454_15757""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15757""; ",84.23717398,-1.234424582,0.33473008,-3.687820893,0.000226183,0.003711328,20down
"gene_id ""PDENDC454_15172""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15172""; ",3187.923414,-1.727539785,0.20330014,-8.497484479,1.94E-17,8.02E-15,20down
"gene_id ""PDENDC454_15202""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_15202""; ",122.9585552,-1.175606212,0.317793302,-3.699279386,0.000216212,0.003580479,20down
"gene_id ""PDENDC454_14557""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_14557""; ",25.66389708,-1.977677086,0.596511463,-3.315404997,0.000915104,0.011810772,20down
"gene_id ""PDENDC454_13827""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13827""; ",131.6482235,-1.333606069,0.384848437,-3.465276046,0.000529687,0.007454998,20down
"gene_id ""PDENDC454_13947""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13947""; ",160.8255163,-1.132608684,0.285656175,-3.964936812,7.34E-05,0.001411149,20down
"gene_id ""PDENDC454_13405""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13405""; ",1204.21881,-2.247410962,0.25008808,-8.986477733,2.55E-19,1.53E-16,20down
"gene_id ""PDENDC454_13410""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13410""; ",669.6352516,-1.910181598,0.292118533,-6.53906337,6.19E-11,8.33E-09,20down
"gene_id ""PDENDC454_13415""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13415""; ",479.6550989,-2.340451469,0.352165587,-6.64588351,3.01E-11,4.38E-09,20down
"gene_id ""PDENDC454_13420""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13420""; ",336.5597568,-1.719684247,0.282256676,-6.092625584,1.11E-09,1.22E-07,20down
"gene_id ""PDENDC454_13425""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13425""; ",88.67136128,-2.061280853,0.434413053,-4.74497909,2.09E-06,7.38E-05,20down
"gene_id ""PDENDC454_13430""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13430""; ",768.0965523,-1.296635896,0.256891247,-5.047411741,4.48E-07,2.01E-05,20down
"gene_id ""PDENDC454_13305""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13305""; ",117.9993672,-1.328914675,0.326027033,-4.076087377,4.58E-05,0.000985978,20down
"gene_id ""PDENDC454_13335""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_13335""; ",92.9383677,-1.379467298,0.359558519,-3.836558511,0.00012477,0.002276321,20down
"gene_id ""PDENDC454_12915""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12915""; ",362.4750211,-1.743210357,0.312821493,-5.572540239,2.51E-08,1.57E-06,20down
"gene_id ""PDENDC454_12920""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12920""; ",314.5794112,-1.507093014,0.259725316,-5.802641945,6.53E-09,5.24E-07,20down
"gene_id ""PDENDC454_12925""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12925""; ",548.1767507,-1.552959519,0.288990394,-5.373740971,7.71E-08,4.42E-06,20down
"gene_id ""PDENDC454_12455""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_12455""; ",500.6238938,-1.18635299,0.239029479,-4.963207874,6.93E-07,2.88E-05,20down
"gene_id ""PDENDC454_11225""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11225""; ",220.0121012,-3.000041036,0.43220925,-6.941177304,3.89E-12,6.75E-10,20down
"gene_id ""PDENDC454_11230""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11230""; ",74.08921937,-3.574554469,0.617533669,-5.788436563,7.10E-09,5.62E-07,20down
"gene_id ""PDENDC454_11240""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11240""; ",27.95704701,-5.444418069,1.132510529,-4.807388479,1.53E-06,5.76E-05,20down
"gene_id ""PDENDC454_11245""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11245""; ",141.9797145,-2.825812044,0.432021952,-6.540899208,6.12E-11,8.33E-09,20down
"gene_id ""PDENDC454_11255""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11255""; ",193.782048,-3.278160759,0.43701257,-7.501296259,6.32E-14,1.42E-11,20down
"gene_id ""PDENDC454_11260""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11260""; ",106.90779,-2.26077718,0.493583429,-4.580334441,4.64E-06,0.000146111,20down
"gene_id ""PDENDC454_11515""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11515""; ",185.5003522,-1.408473188,0.432975975,-3.253005406,0.001141913,0.014145583,20down
"gene_id ""PDENDC454_11535""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11535""; ",350.6718309,-1.243476853,0.265137974,-4.689923641,2.73E-06,9.31E-05,20down
"gene_id ""PDENDC454_11605""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11605""; ",76.24035364,-3.514175865,0.665902583,-5.277312257,1.31E-07,6.92E-06,20down
"gene_id ""PDENDC454_11610""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11610""; ",144.8243706,-2.598485042,0.453921133,-5.724529775,1.04E-08,7.54E-07,20down
"gene_id ""PDENDC454_11615""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11615""; ",52.66192667,-3.94125374,0.788673968,-4.997316887,5.81E-07,2.52E-05,20down
"gene_id ""PDENDC454_10805""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_10805""; ",221.7520155,-1.204579007,0.353061209,-3.411813528,0.000645322,0.008726445,20down
"gene_id ""PDENDC454_10810""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_10810""; ",180.8852999,-1.487232964,0.351050842,-4.236517303,2.27E-05,0.000535871,20down
"gene_id ""PDENDC454_10815""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_10815""; ",58.87984561,-1.493984949,0.457148261,-3.268053445,0.001082899,0.013585462,20down
"gene_id ""PDENDC454_11045""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_11045""; ",497.5843157,-2.967608613,0.634451083,-4.677442741,2.90E-06,9.83E-05,20down
"gene_id ""PDENDC454_09770""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09770""; ",189.3713522,-1.858450345,0.374584175,-4.961369077,7.00E-07,2.88E-05,20down
"gene_id ""PDENDC454_09410""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09410""; ",444.0130103,-1.150159783,0.252359258,-4.557628646,5.17E-06,0.000157308,20down
"gene_id ""PDENDC454_09180""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09180""; ",16.31579982,-2.160941251,0.771197078,-2.802060995,0.005077727,0.046715091,20down
"gene_id ""PDENDC454_09055""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_09055""; partial ""true""; ",119.0181534,-1.224657929,0.379178056,-3.229770055,0.001238898,0.015153977,20down
"gene_id ""PDENDC454_08300""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08300""; ",158.0895813,-1.181786077,0.422592212,-2.796516459,0.005165678,0.047304731,20down
"gene_id ""PDENDC454_08305""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08305""; ",396.2237854,-2.207481549,0.401927036,-5.492244491,3.97E-08,2.37E-06,20down
"gene_id ""PDENDC454_08310""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08310""; ",840.5663739,-1.958899643,0.387462776,-5.055710551,4.29E-07,1.96E-05,20down
"gene_id ""PDENDC454_08315""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08315""; ",131.4701991,-1.453346897,0.424445974,-3.424103387,0.000616831,0.008447295,20down
"gene_id ""PDENDC454_08320""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08320""; ",141.5513429,-3.129674642,0.499793941,-6.261929937,3.80E-10,4.45E-08,20down
"gene_id ""PDENDC454_07960""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07960""; ",368.6856545,-2.686284854,0.731565969,-3.671965301,0.000240692,0.003878462,20down
"gene_id ""PDENDC454_08120""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_08120""; ",1836.383929,-2.488636215,0.887804579,-2.803135141,0.005060846,0.046715091,20down
"gene_id ""PDENDC454_07250""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07250""; ",2842.434692,-1.645848228,0.239011732,-6.886056232,5.74E-12,9.65E-10,20down
"gene_id ""PDENDC454_07340""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_07340""; ",83.29743783,-1.161387301,0.416401272,-2.789106033,0.005285376,0.047969464,20down
"gene_id ""PDENDC454_06830""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06830""; ",7171.289272,-1.161688789,0.385353708,-3.014603894,0.002573151,0.027207656,20down
"gene_id ""PDENDC454_06980""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06980""; ",11.8087637,-5.348898316,1.65714455,-3.227780169,0.001247548,0.015225178,20down
"gene_id ""PDENDC454_06069""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06069""; ",163.2307786,-1.46353409,0.286166914,-5.114267298,3.15E-07,1.47E-05,20down
"gene_id ""PDENDC454_06094""; transcript_id """"; gbkey ""Gene""; gene_biotype ""protein_coding""; locus_tag ""PDENDC454_06094""; ",541.8143998,-1.299960731,0.405487357,-3.205921734,0.001346306,0.016246231,20down
